user_id,login_time,device_type,login_status,location
user_0972,2025-01-02 17:25:00,tablet,success,Paris
user_0202,2025-01-02 23:15:00,mobile,success,New York
user_0497,2025-01-03 04:44:00,tablet,success,Sydney
user_0447,2025-01-03 21:32:00,tablet,success,Paris
user_0551,2025-01-04 09:23:00,tablet,success,Sydney
user_0405,2025-01-05 01:20:00,tablet,success,New York
user_0618,2025-01-05 15:44:00,tablet,success,London
user_0583,2025-01-06 13:47:00,tablet,success,Tokyo
user_0837,2025-01-07 00:18:00,mobile,success,New York
user_0306,2025-01-07 03:40:00,tablet,success,Berlin
user_0297,2025-01-07 06:52:00,mobile,success,Sydney
user_0142,2025-01-08 12:41:00,tablet,success,London
user_0192,2025-01-08 15:48:00,desktop,failure,Sydney
user_0607,2025-01-09 06:12:00,desktop,success,Berlin
user_0824,2025-01-09 10:06:00,desktop,success,Berlin
user_0406,2025-01-09 13:05:00,tablet,success,London
user_0370,2025-01-09 16:03:00,desktop,success,New York
user_0963,2025-01-09 18:30:00,tablet,success,New York
user_0886,2025-01-09 19:38:00,mobile,failure,Sydney
user_0220,2025-01-09 21:36:00,mobile,success,Berlin
user_0044,2025-01-10 00:39:00,desktop,failure,Berlin
user_0684,2025-01-10 06:44:00,tablet,success,Sydney
user_0150,2025-01-10 08:33:00,tablet,success,Paris
user_0819,2025-01-10 20:43:00,mobile,success,New York
user_0981,2025-01-11 01:57:00,desktop,success,Tokyo
user_0848,2025-01-11 07:53:00,tablet,failure,Berlin
user_0628,2025-01-11 10:01:00,desktop,success,New York
user_0178,2025-01-11 13:07:00,mobile,success,Paris
user_0099,2025-01-13 05:16:00,tablet,success,Berlin
user_0207,2025-01-13 07:54:00,mobile,success,Berlin
user_0949,2025-01-13 18:36:00,tablet,success,Tokyo
user_0393,2025-01-14 05:38:00,desktop,success,Tokyo
user_0483,2025-01-14 10:52:00,tablet,success,Sydney
user_0096,2025-01-15 15:14:00,tablet,failure,Berlin
user_0571,2025-01-15 18:02:00,tablet,success,Paris
user_0952,2025-01-16 05:15:00,mobile,success,Berlin
user_0979,2025-01-17 04:17:00,mobile,success,Paris
user_0698,2025-01-17 07:19:00,mobile,success,Berlin
user_0609,2025-01-18 00:54:00,tablet,success,London
user_0901,2025-01-19 10:33:00,tablet,success,Tokyo
user_0221,2025-01-19 12:34:00,desktop,success,Tokyo
user_0585,2025-01-19 15:13:00,tablet,success,Berlin
user_0206,2025-01-20 03:24:00,tablet,success,Berlin
user_0884,2025-01-20 08:37:00,desktop,success,New York
user_0665,2025-01-20 16:45:00,mobile,success,Paris
user_0799,2025-01-20 21:11:00,mobile,success,New York
user_0283,2025-01-21 01:12:00,desktop,success,New York
user_0343,2025-01-21 17:07:00,mobile,success,Tokyo
user_0327,2025-01-22 15:26:00,mobile,success,Tokyo
user_0658,2025-01-22 18:46:00,desktop,success,Sydney
user_0744,2025-01-23 00:57:00,tablet,success,London
user_0896,2025-01-23 01:08:00,tablet,success,Sydney
user_0586,2025-01-23 02:57:00,tablet,success,Tokyo
user_0784,2025-01-23 17:35:00,mobile,success,New York
user_0974,2025-01-24 05:36:00,mobile,failure,Berlin
user_0451,2025-01-24 07:38:00,mobile,success,Berlin
user_0223,2025-01-24 07:52:00,tablet,success,Berlin
user_0347,2025-01-25 09:14:00,mobile,failure,New York
user_0139,2025-01-25 13:36:00,desktop,success,New York
user_0103,2025-01-25 21:33:00,desktop,success,London
user_0172,2025-01-26 07:21:00,tablet,success,London
user_0624,2025-01-26 08:23:00,tablet,success,Tokyo
user_0781,2025-01-26 09:33:00,desktop,success,New York
user_0380,2025-01-26 23:18:00,mobile,success,Sydney
user_0845,2025-01-27 03:02:00,desktop,success,Tokyo
user_0613,2025-01-27 11:15:00,mobile,success,Sydney
user_0880,2025-01-27 11:40:00,tablet,success,Paris
user_0104,2025-01-27 12:08:00,mobile,success,Berlin
user_0411,2025-01-27 17:49:00,tablet,success,New York
user_0384,2025-01-28 05:53:00,mobile,success,Paris
user_0183,2025-01-30 07:01:00,desktop,success,London
user_0340,2025-01-30 07:44:00,tablet,success,Sydney
user_0453,2025-01-30 22:50:00,tablet,success,Sydney
user_0486,2025-01-30 22:53:00,tablet,success,Sydney
user_0284,2025-01-31 08:55:00,tablet,success,Tokyo
user_0554,2025-01-31 09:52:00,desktop,success,Paris
user_0398,2025-02-01 22:50:00,desktop,success,London
user_0125,2025-02-01 23:15:00,desktop,success,Berlin
user_0769,2025-02-02 12:27:00,desktop,success,Berlin
user_0778,2025-02-03 02:07:00,mobile,success,Paris
user_0085,2025-02-03 10:16:00,desktop,success,Sydney
user_0608,2025-02-03 14:46:00,desktop,success,New York
user_0423,2025-02-03 18:29:00,desktop,success,New York
user_0904,2025-02-03 20:51:00,desktop,success,Paris
user_0527,2025-02-03 23:01:00,mobile,success,New York
user_0502,2025-02-03 23:03:00,tablet,success,Berlin
user_0948,2025-02-03 23:24:00,mobile,success,Tokyo
user_0472,2025-02-04 04:38:00,tablet,success,New York
user_0515,2025-02-04 22:33:00,desktop,failure,Paris
user_0187,2025-02-05 01:20:00,mobile,success,Tokyo
user_0189,2025-02-05 03:35:00,mobile,success,Berlin
user_0547,2025-02-06 15:04:00,desktop,success,Tokyo
user_0344,2025-02-06 23:39:00,mobile,success,New York
user_0130,2025-02-08 22:14:00,tablet,success,Berlin
user_0127,2025-02-09 04:04:00,desktop,success,Tokyo
user_0184,2025-02-10 03:47:00,desktop,success,Paris
user_0374,2025-02-10 05:13:00,desktop,success,London
user_0838,2025-02-10 07:44:00,desktop,success,Berlin
user_0090,2025-02-10 09:49:00,tablet,success,Sydney
user_0699,2025-02-10 10:59:00,tablet,success,Tokyo
user_0746,2025-02-10 11:57:00,desktop,success,London
user_0083,2025-02-10 17:30:00,desktop,success,New York
user_0933,2025-02-10 18:04:00,mobile,success,Berlin
user_0535,2025-02-10 23:49:00,desktop,success,London
user_0716,2025-02-10 23:52:00,mobile,success,New York
user_0866,2025-02-11 10:29:00,mobile,failure,Tokyo
user_0513,2025-02-11 14:52:00,tablet,success,Sydney
user_0652,2025-02-12 22:55:00,desktop,success,Paris
user_0138,2025-02-13 16:15:00,desktop,success,Sydney
user_0140,2025-02-14 04:48:00,tablet,success,Paris
